municipio,denominacao_serventia,endereco,telefone,municipios_circunscritos
Porto,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PORTO,"Avenida Dirceu Arcoverde, 813, CEP 64.145-000 Centro",(86) 98843-1457,"Porto, Campo Largo do Piauí"
Valença do Piauí,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE VALENÇA DO PIAUÍ,,,
Ribeiro Gonçalves,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE RIBEIRO GONÇALVES,"Rua Duque de Caxias, nº 395, CEP 64.865-000 Centro",(89) 3567-1224 / (89) 99981-6201,"Ribeiro Gonçalves, Baixa Grande do Ribeiro"
Picos,"1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS, REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS E REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE PICOS  - 1ª ZONA","Rua São José, nº 75, Térreo, CEP 64.600-008 Centro",(89) 2222-0340 / (61) 98206-2192,"Picos, Aroeiras do Itaim, Geminiano, Paquetá"
Simplício Mendes,1ª SERVENTIA EXTRAJUDICIAL DE SIMPLÍCIO MENDES,"Rua Professor José de Atanásio, nº 862, CEP 64.700-000 Centro",(89) 99934-9226,"Simplício Mendes, Bela Vista do Piauí"
Oeiras,4ª SERVENTIA EXTRAJUDICIAL DE OEIRAS,"Rua Miguel Oliveira, nº 286, CEP 64.500-000 Centro",(89) 98817-3709 /  (89) 99912-9709,"Oeiras, Cajazeiras do Piauí, Santa Rosa do Piauí, Colônia do Piauí, São João da Varjota"
São Francisco do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO FRANCISCO DO PIAUÍ,"Rua Laurentino Pereira, s/n, CEP 64.550-000 Centro",(89) 3558-1113/ (89) 9433-9333,"São Francisco do Piauí, São José do Peixe"
Simplício Mendes,2ª SERVENTIA EXTRAJUDICIAL DE SIMPLÍCIO MENDES,"Rua Arnaldo Ferreira de Carvalho nº 686, CEP 64.700-000 Centro",(89) 99984-5659,"Simplício Mendes, Bela Vista do Piauí"
Uruçuí,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE URUÇUÍ,"Rua Almir Bemvindo, nº 105, Edifício Novo Uruçuí, CEP 64.860-000 Malvinas",(89) 3544-1678,Uruçuí
Oeiras,1ª SERVENTIA EXTRAJUDICIAL DE OEIRAS,"Rua Padre Freitas, nº 12, CEP 64.500-000 Centro",(89) 3462-1537,"Oeiras, Cajazeiras do Piauí, Santa Rosa do Piauí, Colônia do Piauí, São João da Varjota"
Luís Correia,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE LUÍS CORREIA,"Rua Jonas Correia, nº 621, CEP 64.220-000 Centro",3367-1100,"Luís Correia, Cajueiro da Praia"
Alto Longá,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ALTO LONGÁ,"Rua Benedito Brito, nº 352, Centro, CEP: 64.360-000 Centro",86981147510,"Alto Longá, Novo Santo Antônio"
Barro Duro,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BARRO DURO,"Rua João Pinheiro, nº 188, CEP 64.455-000 Centro",(86) 3284-1556 / (86) 99995-8664,"Barro Duro, Passagem Franca do Piauí, Olho D'Água do Piauí"
Paquetá,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PAQUETÁ,,,
Teresina,SDT - Serviço de Distribuição de Títulos e outros Documentos de Dívida para Protesto de Teresina,"Rua Coelho Rodrigues, nº 1999, Edifício Di Cavalcanti, 3º andar, sala 313, CEP 64000-080 Centro",(86) 3221-2604 / 3223-0628 / 99432-6767,
Ilha Grande,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ILHA GRANDE,,,
Pau d'Arco do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PAU D'ARCO DO PIAUÍ,"Avenida Otília Maria de Paiva, 472, CEP 64.295-000 Centro",,Pau D'arco do Piauí
Marcolândia,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MARCOLÂNDIA,"Avenida Corinto Matos, nº. 261, CEP.: 64.685-000 Centro",(89) 99467-2714,"Marcolândia, Caldeirão Grande do Piauí"
Capitão de Campos,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CAPITÃO DE CAMPOS,"Av. Santos Dumont, nº 297, CEP 64.270-000 Centro",(89) 99445-2630,"Capitão Gervásio Oliveira, Boqueirão do Piauí, Cocal de Telha"
Amarante,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE AMARANTE,"Av. Afrânio Filho, nº 356, CEP 64.400-000 Escalvado",(86) 99822-6718,Amarante
Nazaré do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE NAZARÉ DO PIAUÍ,"Avenida Joaquim Ramos, nº 1532/C, CEP 64.825-000 Centro",(89) 99419-8899 / (89) 99467-3105,Nazaré do Piauí
Regeneração,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE REGENERAÇÃO,"Rua Doutor Raimundo Campos, nº 130, CEP 64.490-000 Centro",(86) 981131748 / (86) 99463-6717,
Santa Filomena,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SANTA FILOMENA,"Avenida Presidente Getúlio Vargas, s/n, CEP 64.945-000 Centro",(89 )99979-1680,Santa Filomena
Luzilândia,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE LUZILÂNDIA,"Avenida Prefeito Raimundo Marques, nº 444, CEP 64.160-000 São Domingos",(86) 98188-8282 / (86) 99926-5626,"Luzilândia, Joca Marques, Madeiro"
São João da Serra,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOÃO DA SERRA,"Avenida Presidente Médici, nº 316, CEP 64.350-000 Centro",(86) 98176-9008,São João da Serra
Teresina,3ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE TERESINA,"Rua Davi Caldas, nº 173  Centro Norte",(86) 3221 0643 / (86) 981642884,Teresina
Angical do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ANGICAL DO PIAUÍ,"Rua Faustino Sousa, nº 556, CEP 64.410-000 CENTRO",(86) 99506-9854,"Angical do Piauí, Jardim do Mulato"
Guadalupe,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE GUADALUPE,"Rua Airton Granjeiro, s/n, CEP 64.840-000 Centro",(89) 99979-5475,Guadalupe
Teresina,7ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA,"Rua Barroso, nº 329, CEP 64.000-130 Centro",(86) 98857-7077,Teresina
Francisco Santos,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE FRANCISCO SANTOS,"Rua Amadeu Rodrigues, nº 100, CEP 64.645-000 Centro",(89) 98105-1400,Francisco Santos
Castelo do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CASTELO DO PIAUÍ,"Rua Sete de Setembro, S/N, CEP 64.340-000 Centro",(86) 98124-8584,"Castelo do Piauí, Buriti dos Montes, Juazeiro do Piauí"
Arraial,teste,,,
Isaías Coelho,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ISAÍAS COELHO,"Rua Francisco Terto, 256 centro",(89) 99429-8789,Isaías Coelho
Teresina,2ª SERVENTIA EXTRAJUDICIAL DE NOTAS E PROTESTO DE TÍTULOS DE TERESINA,"Avenida Elias João Tajra, nº 1816, CEP 64.049-300 Fátima",(86) 3029-3564 / (86) 98132-4549,"Teresina, Nazária"
Inhuma,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE INHUMA,"Rua Treze de Maio, nº 261, CEP 64.535-000 Centro",(89) 99415-2580,inhuma
Sebastião Leal,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SEBASTIÃO LEAL,"Avenida Ulisses Guimarães, nº 1121, CEP 64.873-000 Centro",(89) 99460-1598,Sebastião Leal
Sussuapara,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SUSSUAPARA,"Rodovia PI 238, s/n.º, Quadra C Lote 05, CEP: 64.610-000 Novo Paquetá",(89) 99930-8145,Sussuapara
Bertolínia,1ª SERVENTIA EXTRAJUDICIAL DE BERTOLÍNIA,"Praça Nossa Senhora Aparecida, nº 45, CEP 64.870-000 Centro",(89) 99474-4545,"Bertolínia, Sebastião Leal"
Manoel Emídio,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MANOEL EMÍDIO,"Rua Dirceu Arcoverde, s/n, CEP 64.875-000 Centro",(89) 99474-8000,Manoel Emídio
Jerumenha,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE JERUMENHA,"Avenida Eurípedes de Aguiar, 201, CEP 64.830-000 Caixa D'água",(86) 99476-0701,"Jerumenha, Canavieira"
Demerval Lobão,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE DEMERVAL LOBÃO,"Avenida Padre Joaquim Nonato, nº 907, CEP 64.390-000 Centro",(86) 99566-4614,"Demerval Lobão, Lagoa do Piauí"
Piripiri,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE PIRIPIRI,"Avenida Aderson Alves Ferreira, nº 71, CEP 64.260-000 Centro",(86) 99825-0977,"Piripiri, Brasileira"
Padre Marcos,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PADRE MARCOS,"Avenida Anísio Bento de Carvalho, nº 64, CEP 64.680-000 Deputado Humberto Reis",(86) 98824-7610,"Padre Marcos, Belém do Piauí, Francisco Macedo, Vila Nova do Piauí"
Simões,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE SIMÕES,"Rua Josino Bartolomeu de Carvalho, nº 117, CEP 64.585-000 Centro",(89) 3456-1225,"Simões, Caridade do Piauí, Curral Novo do Piauí"
São João do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOÃO DO PIAUÍ,"Travessa Santo Antônio, nº 505, CEP 64.760-000 Centro",(89) 3483-1253,"São João do Piauí, Campo Alegre do Fidalgo, Capitão Gervásio, João Costa, Lagoa do Barro do Piauí, Nova Santa Rita, Pedro Laurentino"
Eliseu Martins,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ELISEU MARTINS,"Avenida Manoel Rodrigues, S/N, CEP 64.880-000 Centro",(89) 99453-7920,"Eliseu Martins, Colônia do Gurguéia"
Dom Expedito Lopes,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE DOM EXPEDITO LOPES,"Avenida José Honório de Sousa, nº 198, CEP 64.620-000 Centro",(86) 99914-7150,Dom Expedito Lopes
Miguel Alves,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MIGUEL ALVES,"Rua Vinte e Um de abril, nº 55, CEP 64.130-000 Centro",(86) 99482-2753 / (86) 99556-6319,Miguel Alves
São José do Divino,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOSÉ DO DIVINO,"Avenida Antônio Romão, nº 1085, CEP 64.245-000 Triunfo",(86) 98120-9480,São José do Divino-PI
São José do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JOSÉ DO PIAUÍ,Anexada provisoriamente à Serventia Extrajudicial do Ofício Único de Bocaina,(89) 3199-0050,São José do Piauí
Cabeceiras do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CABECEIRAS DO PIAUÍ,"Avenida Francisco da Costa Veloso, S/N, CEP 64.105-000 Centro",(86) 99920-7528,Cabeceiras do Piauí-PI
Santa Cruz do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SANTA CRUZ DO PIAUÍ,"Praça Clementino Martins, nº 167, CEP 64.545-000 Centro",(89) 98805-7580,"Santa Cruz do Piauí, Wall Ferraz"
Teresina,2ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA,"Rua Governador Joca Pires, nº 1455,  3º andar, CEP 64.048-502 Fátima",(86) 99818-3003,Teresina
Cocal dos Alves,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE COCAL DOS ALVES,"Rua Antônio Vieira Machado, S/N, CEP 64.238-000 Centro",(86) 99982-2691,Cocal dos Alves
Teresina,6ª SERVENTIA EXTRAJUDICIAL DE REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDIÇÕES E TUTELAS DE TERESINA - 6ª ZONA,"Quadra 71, nº 11, CEP 64.025-250 Parque Piauí",(86) 98165-6666,Teresina
Dirceu Arcoverde,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE DIRCEU ARCOVERDE,"Avenida Joaquim Amâncio Ribeiro, s/n, CEP 64.785-000 Centro",(89) 98122-9704,"Dirceu Arcoverde, Fartura do Piauí"
Teresina,2ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE TÍTULOS E DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS DE TERESINA,"Avenida Senador Área Leão, n.1508. Galeria Otílio Rezende Neto, sala 05 Bairro São Cristóvão",(86) 99586-0730,Teresina
São Raimundo Nonato,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE SÃO RAIMUNDO NONATO,"Praça Francisco Antônio da Silva, nº 816, CEP 64.770-000 Centro",(86) 99810-8682,"São Raimundo Nonato, Bonfim do Piauí, Coronel José Dias, São Lourenço do Piauí, São Braz do Piauí"
Itainópolis,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE ITAINÓPOLIS,"Avenida Tibério Nunes, 159, centro, Itainópolis – PI, CEP: 64.565-00 Centro",(89) 99468-6701,"Itainópolis, Vera Mendes"
Coivaras,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE COIVARAS,"Avenida Raimundo Martins, nº 617, CEP: 64.335-000 Centro",(86) 99449-3793,Coivaras
São Julião,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE SÃO JULIÃO,"Rua Leopoldino Rocha, s/n, CEP 64.670-000 Centro",(89) 98141-8869,"São Julião, Alegrete do Piauí"
Matias Olímpio,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MATIAS OLÍMPIO,"Avenida Matias Teles, S/N, CEP 64.150-000 Centro",(86) 98118-3084,"Matias Olímpio, São João do Arraial"
Murici dos Portelas,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MURICI DOS PORTELAS,"Avenida Lira Portela, S/N, CEP 64.175-000 Centro",(86) 98842-0890,Murici dos Portelas
Altos,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE ALTOS,"Rua Domingos Félix do Monte, nº 1972, CEP 64.290-000 Centro",(86) 3262-1149,"Altos, Pau D'Arco do Piauí, Coivaras"
Teresina,10ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA,"Rua Desembargador Manoel Castelo Branco, nº 661, CEP: 64.049-200 Jóquei",(86) 3085-1870,Teresina
Nossa Senhora dos Remédios,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE NOSSA SENHORA DOS REMÉDIOS,"Avenida Farol da Virgem, nº 188, CEP 64.145-000 Centro",(86) 98888-5796,Nossa Senhora dos Remédios
Corrente,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE CORRENTE,"Rua Joaquina Nogueira de Oliveira, 160, CEP: 64.980-000 Centro",(84)999704646,"Corrente, Sebastião Barros"
Campo Grande do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CAMPO GRANDE DO PIAUÍ,"Rua Abel Santos do Nascimento, n° 74, CEP 64.578-000 Centro",(89) 98113-0173,Campo grande do Piauí
Boa Hora,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BOA HORA,"Rua Chico Sabino, nº 1253, CEP: 64.108-000 Centro",(86) 98837-3687,Boa Hora-PI
Pio IX,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE PIO IX,"Rua Francisco das Chagas Fortaleza, nº 440, CEP 64.660-000 Centro",(86) 98166-3828,Pio IX
Monsenhor Hipólito,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE MONSENHOR HIPÓLITO,"Avenida Coronel Antônio Rodrigues, 219, CEP 64650-000 Centro",(89) 98143-5307,Monsenhor Hipólito
Teresina,8ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA,"Avenida Rio Poti, nº 2151, CEP 64.049-410 Fátima",(86) 3233-8900,Teresina
Bom Princípio do Piauí,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BOM PRINCÍPIO DO PIAUÍ,"Travessa Raimundo Nonato de Albuquerque, S/N, CEP 64.225-000 Centro",(86) 981922123,Bom Princípio do Piauí
União,1ª SERVENTIA EXTRAJUDICIAL DE REGISTRO GERAL DE UNIÃO,"Rua Thomaz Gonçalves, nº 2.600, CEP 64.120-000 Centro",(86) 99569-3886,União
Bocaina,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BOCAINA,"Rua Santo Antônio, nº 388, CEP 64.630-000 Centro",(89) 3199-0050,"Bocaina, São Luis do Piauí, São João da Canabrava"
Dom Inocêncio,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE DOM INOCÊNCIO,"Rua Facheiro, s/n, CEP 64.790-000. Centro",(89) 98136-1234,Dom Inocêncio
Buriti dos Lopes,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE BURITI DOS LOPES,"Rua Jonas Escórcio, nº 437, CEP 64.230-000 Centro",(86) 99588-9991,"Buriti dos Lopes, Bom Princípio do Piauí, Caraúbas do Piauí, Caxingó"
Redenção do Gurguéia,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE REDENÇÃO DO GURGUÉIA,"Avenida Álvaro Mendes, 437, CEP 64.915-000 Centro",(89) 98116-5642 / (89) 99985-5211,Redenção do Gurguéia
Lagoa Alegre,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE LAGOA ALEGRE,"Avenida Isabel Costa,  Anexo I, nº 606, CEP 64.138-000 São Francisco",(86) 99418-5201,Lagoa Alegre
Paulistana,1ª SERVENTIA EXTRAJUDICIAL DE PAULISTANA,"Rua Padre Joaquim Damasceno, nº 200, CEP 64.750-000 Centro",(89) 97400-4519 / (89) 99409-8925,"Paulistana, Acauã, Betânia do Piauí, Jacobina do Piauí, Queimada Nova"
Teresina,9ª SERVENTIA EXTRAJUDICIAL DE REGISTRO DE IMÓVEIS DE TERESINA,"Avenida Nossa Senhora de Fátima, nº 1630, CEP 64.048-185 Jóquei",(86) 3303-0975 / (86) 98143-3678 / (86)9444-9302,"Teresina, Nazária"
Avelino Lopes,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE AVELINO LOPES,"Rua Jocelino Tolentino Gama, s/n, CEP 64.965-000 Belo Horizonte",(89) 99988-3688,"Avelino Lopes, Morro Cabeça no Tempo"
Cristino Castro,SERVENTIA EXTRAJUDICIAL DO OFÍCIO ÚNICO DE CRISTINO CASTRO,"Avenida Marcos Parente, nº 685, CEP 64.920-000 Centro",(89) 98107-2465,"Cristino Castro, Alvorada do Gurguéia"
